PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Title,FamilySize,IsAlone,FareCat
1,0,3,0,22,1,0,7.25,1,1,2,0,1
2,1,1,1,38,1,0,71.2833,2,3,2,0,4
3,1,3,1,26,0,0,7.925,1,2,1,1,2
4,1,1,1,35,1,0,53.1,1,3,2,0,4
5,0,3,0,35,0,0,8.05,1,1,1,1,2
6,0,3,0,25,0,0,8.4583,3,1,1,1,2
7,0,1,0,54,0,0,51.8625,1,1,1,1,4
8,0,3,0,2,3,1,21.075,1,4,5,0,3
9,1,3,1,27,0,2,11.1333,1,3,3,0,2
10,1,2,1,14,1,0,30.0708,2,3,2,0,3
11,1,3,1,4,1,1,16.7,1,2,3,0,3
12,1,1,1,58,0,0,26.55,1,2,1,1,3
13,0,3,0,20,0,0,8.05,1,1,1,1,2
14,0,3,0,39,1,5,31.275,1,1,7,0,4
15,0,3,1,14,0,0,7.8542,1,2,1,1,1
16,1,2,1,55,0,0,16.0,1,3,1,1,3
17,0,3,0,2,4,1,29.125,3,4,6,0,3
18,1,2,0,30,0,0,13.0,1,1,1,1,2
19,0,3,1,31,1,0,18.0,1,3,2,0,3
20,1,3,1,21,0,0,7.225,2,3,1,1,1
21,0,2,0,35,0,0,26.0,1,1,1,1,3
22,1,2,0,34,0,0,13.0,1,1,1,1,2
23,1,3,1,15,0,0,8.0292,3,2,1,1,2
24,1,1,0,28,0,0,35.5,1,1,1,1,4
25,0,3,1,8,3,1,21.075,1,2,5,0,3
26,1,3,1,38,1,5,31.3875,1,3,7,0,4
27,0,3,0,25,0,0,7.225,2,1,1,1,1
28,0,1,0,19,3,2,263.0,1,1,6,0,4
29,1,3,1,21,0,0,7.8792,3,2,1,1,1
30,0,3,0,25,0,0,7.8958,1,1,1,1,1
31,0,1,0,40,0,0,27.7208,2,5,1,1,3
32,1,1,1,35,1,0,146.5208,2,3,2,0,4
33,1,3,1,21,0,0,7.75,3,2,1,1,1
34,0,2,0,66,0,0,10.5,1,1,1,1,2
35,0,1,0,28,1,0,82.1708,2,1,2,0,4
36,0,1,0,42,1,0,52.0,1,1,2,0,4
37,1,3,0,25,0,0,7.2292,2,1,1,1,1
38,0,3,0,21,0,0,8.05,1,1,1,1,2
39,0,3,1,18,2,0,18.0,1,2,3,0,3
40,1,3,1,14,1,0,11.2417,2,2,2,0,2
41,0,3,1,40,1,0,9.475,1,3,2,0,2
42,0,2,1,27,1,0,21.0,1,3,2,0,3
43,0,3,0,25,0,0,7.8958,2,1,1,1,1
44,1,2,1,3,1,2,41.5792,2,2,4,0,4
45,1,3,1,19,0,0,7.8792,3,2,1,1,1
46,0,3,0,25,0,0,8.05,1,1,1,1,2
47,0,3,0,25,1,0,15.5,3,1,2,0,3
48,1,3,1,21,0,0,7.75,3,2,1,1,1
49,0,3,0,25,2,0,21.6792,2,1,3,0,3
50,0,3,1,18,1,0,17.8,1,3,2,0,3
51,0,3,0,7,4,1,39.6875,1,4,6,0,4
52,0,3,0,21,0,0,7.8,1,1,1,1,1
53,1,1,1,49,1,0,76.7292,2,3,2,0,4
54,1,2,1,29,1,0,26.0,1,3,2,0,3
55,0,1,0,65,0,1,61.9792,2,1,2,0,4
56,1,1,0,40,0,0,35.5,1,1,1,1,4
57,1,2,1,21,0,0,10.5,1,2,1,1,2
58,0,3,0,28,0,0,7.2292,2,1,1,1,1
59,1,2,1,5,1,2,27.75,1,2,4,0,3
60,0,3,0,11,5,2,46.9,1,4,8,0,4
61,0,3,0,22,0,0,7.2292,2,1,1,1,1
62,1,1,1,38,0,0,80.0,0,2,1,1,4
63,0,1,0,45,1,0,83.475,1,1,2,0,4
64,0,3,0,4,3,2,27.9,1,4,6,0,3
65,0,1,0,40,0,0,27.7208,2,1,1,1,3
66,1,3,0,25,1,1,15.2458,2,4,3,0,3
67,1,2,1,29,0,0,10.5,1,3,1,1,2
68,0,3,0,19,0,0,8.1583,1,1,1,1,2
69,1,3,1,17,4,2,7.925,1,2,7,0,2
70,0,3,0,26,2,0,8.6625,1,1,3,0,2
71,0,2,0,32,0,0,10.5,1,1,1,1,2
72,0,3,1,16,5,2,46.9,1,2,8,0,4
73,0,2,0,21,0,0,73.5,1,1,1,1,4
74,0,3,0,26,1,0,14.4542,2,1,2,0,3
75,1,3,0,32,0,0,56.4958,1,1,1,1,4
76,0,3,0,25,0,0,7.65,1,1,1,1,1
77,0,3,0,25,0,0,7.8958,1,1,1,1,1
78,0,3,0,25,0,0,8.05,1,1,1,1,2
79,1,2,0,0,0,2,29.0,1,4,3,0,3
80,1,3,1,30,0,0,12.475,1,2,1,1,2
81,0,3,0,22,0,0,9.0,1,1,1,1,2
82,1,3,0,29,0,0,9.5,1,1,1,1,2
83,1,3,1,21,0,0,7.7875,3,2,1,1,1
84,0,1,0,28,0,0,47.1,1,1,1,1,4
85,1,2,1,17,0,0,10.5,1,2,1,1,2
86,1,3,1,33,3,0,15.85,1,3,4,0,3
87,0,3,0,16,1,3,34.375,1,1,5,0,4
88,0,3,0,25,0,0,8.05,1,1,1,1,2
89,1,1,1,23,3,2,263.0,1,2,6,0,4
90,0,3,0,24,0,0,8.05,1,1,1,1,2
91,0,3,0,29,0,0,8.05,1,1,1,1,2
92,0,3,0,20,0,0,7.8542,1,1,1,1,1
93,0,1,0,46,1,0,61.175,1,1,2,0,4
94,0,3,0,26,1,2,20.575,1,1,4,0,3
95,0,3,0,59,0,0,7.25,1,1,1,1,1
96,0,3,0,25,0,0,8.05,1,1,1,1,2
97,0,1,0,71,0,0,34.6542,2,1,1,1,4
98,1,1,0,23,0,1,63.3583,2,1,2,0,4
99,1,2,1,34,0,1,23.0,1,3,2,0,3
100,0,2,0,34,1,0,26.0,1,1,2,0,3
101,0,3,1,28,0,0,7.8958,1,2,1,1,1
102,0,3,0,25,0,0,7.8958,1,1,1,1,1
103,0,1,0,21,0,1,77.2875,1,1,2,0,4
104,0,3,0,33,0,0,8.6542,1,1,1,1,2
105,0,3,0,37,2,0,7.925,1,1,3,0,2
106,0,3,0,28,0,0,7.8958,1,1,1,1,1
107,1,3,1,21,0,0,7.65,1,2,1,1,1
108,1,3,0,25,0,0,7.775,1,1,1,1,1
109,0,3,0,38,0,0,7.8958,1,1,1,1,1
110,1,3,1,21,1,0,24.15,3,2,2,0,3
111,0,1,0,47,0,0,52.0,1,1,1,1,4
112,0,3,1,14,1,0,14.4542,2,2,2,0,3
113,0,3,0,22,0,0,8.05,1,1,1,1,2
114,0,3,1,20,1,0,9.825,1,2,2,0,2
115,0,3,1,17,0,0,14.4583,2,2,1,1,3
116,0,3,0,21,0,0,7.925,1,1,1,1,2
117,0,3,0,70,0,0,7.75,3,1,1,1,1
118,0,2,0,29,1,0,21.0,1,1,2,0,3
119,0,1,0,24,0,1,247.5208,2,1,2,0,4
120,0,3,1,2,4,2,31.275,1,2,7,0,4
121,0,2,0,21,2,0,73.5,1,1,3,0,4
122,0,3,0,25,0,0,8.05,1,1,1,1,2
123,0,2,0,32,1,0,30.0708,2,1,2,0,3
124,1,2,1,32,0,0,13.0,1,2,1,1,2
125,0,1,0,54,0,1,77.2875,1,1,2,0,4
126,1,3,0,12,1,0,11.2417,2,4,2,0,2
127,0,3,0,25,0,0,7.75,3,1,1,1,1
128,1,3,0,24,0,0,7.1417,1,1,1,1,1
129,1,3,1,21,1,1,22.3583,2,2,3,0,3
130,0,3,0,45,0,0,6.975,1,1,1,1,1
131,0,3,0,33,0,0,7.8958,2,1,1,1,1
132,0,3,0,20,0,0,7.05,1,1,1,1,1
133,0,3,1,47,1,0,14.5,1,3,2,0,3
134,1,2,1,29,1,0,26.0,1,3,2,0,3
135,0,2,0,25,0,0,13.0,1,1,1,1,2
136,0,2,0,23,0,0,15.0458,2,1,1,1,3
137,1,1,1,19,0,2,26.2833,1,2,3,0,3
138,0,1,0,37,1,0,53.1,1,1,2,0,4
139,0,3,0,16,0,0,9.2167,1,1,1,1,2
140,0,1,0,24,0,0,79.2,2,1,1,1,4
141,0,3,1,21,0,2,15.2458,2,3,3,0,3
142,1,3,1,22,0,0,7.75,1,2,1,1,1
143,1,3,1,24,1,0,15.85,1,3,2,0,3
144,0,3,0,19,0,0,6.75,3,1,1,1,1
145,0,2,0,18,0,0,11.5,1,1,1,1,2
146,0,2,0,19,1,1,36.75,1,1,3,0,4
147,1,3,0,27,0,0,7.7958,1,1,1,1,1
148,0,3,1,9,2,2,34.375,1,2,5,0,4
149,0,2,0,36,0,2,26.0,1,1,3,0,3
150,0,2,0,42,0,0,13.0,1,5,1,1,2
151,0,2,0,51,0,0,12.525,1,5,1,1,2
152,1,1,1,22,1,0,66.6,1,3,2,0,4
153,0,3,0,55,0,0,8.05,1,1,1,1,2
154,0,3,0,40,0,2,14.5,1,1,3,0,3
155,0,3,0,25,0,0,7.3125,1,1,1,1,1
156,0,1,0,51,0,1,61.3792,2,1,2,0,4
157,1,3,1,16,0,0,7.7333,3,2,1,1,1
158,0,3,0,30,0,0,8.05,1,1,1,1,2
159,0,3,0,25,0,0,8.6625,1,1,1,1,2
160,0,3,0,25,8,2,69.55,1,4,11,0,4
161,0,3,0,44,0,1,16.1,1,1,2,0,3
162,1,2,1,40,0,0,15.75,1,3,1,1,3
163,0,3,0,26,0,0,7.775,1,1,1,1,1
164,0,3,0,17,0,0,8.6625,1,1,1,1,2
165,0,3,0,1,4,1,39.6875,1,4,6,0,4
166,1,3,0,9,0,2,20.525,1,4,3,0,3
167,1,1,1,35,0,1,55.0,1,3,2,0,4
168,0,3,1,45,1,4,27.9,1,3,6,0,3
169,0,1,0,40,0,0,25.925,1,1,1,1,3
170,0,3,0,28,0,0,56.4958,1,1,1,1,4
171,0,1,0,61,0,0,33.5,1,1,1,1,4
172,0,3,0,4,4,1,29.125,3,4,6,0,3
173,1,3,1,1,1,1,11.1333,1,2,3,0,2
174,0,3,0,21,0,0,7.925,1,1,1,1,2
175,0,1,0,56,0,0,30.6958,2,1,1,1,3
176,0,3,0,18,1,1,7.8542,1,1,3,0,1
177,0,3,0,25,3,1,25.4667,1,4,5,0,3
178,0,1,1,50,0,0,28.7125,2,2,1,1,3
179,0,2,0,30,0,0,13.0,1,1,1,1,2
180,0,3,0,36,0,0,0.0,1,1,1,1,1
181,0,3,1,21,8,2,69.55,1,2,11,0,4
182,0,2,0,30,0,0,15.05,2,1,1,1,3
183,0,3,0,9,4,2,31.3875,1,4,7,0,4
184,1,2,0,1,2,1,39.0,1,4,4,0,4
185,1,3,1,4,0,2,22.025,1,2,3,0,3
186,0,1,0,40,0,0,50.0,1,1,1,1,4
187,1,3,1,21,1,0,15.5,3,3,2,0,3
188,1,1,0,45,0,0,26.55,1,1,1,1,3
189,0,3,0,40,1,1,15.5,3,1,3,0,3
190,0,3,0,36,0,0,7.8958,1,1,1,1,1
191,1,2,1,32,0,0,13.0,1,3,1,1,2
192,0,2,0,19,0,0,13.0,1,1,1,1,2
193,1,3,1,19,1,0,7.8542,1,2,2,0,1
194,1,2,0,3,1,1,26.0,1,4,3,0,3
195,1,1,1,44,0,0,27.7208,2,3,1,1,3
196,1,1,1,58,0,0,146.5208,2,2,1,1,4
197,0,3,0,25,0,0,7.75,3,1,1,1,1
198,0,3,0,42,0,1,8.4042,1,1,2,0,2
199,1,3,1,21,0,0,7.75,3,2,1,1,1
200,0,2,1,24,0,0,13.0,1,2,1,1,2
201,0,3,0,28,0,0,9.5,1,1,1,1,2
202,0,3,0,25,8,2,69.55,1,1,11,0,4
203,0,3,0,34,0,0,6.4958,1,1,1,1,1
204,0,3,0,45,0,0,7.225,2,1,1,1,1
205,1,3,0,18,0,0,8.05,1,1,1,1,2
206,0,3,1,2,0,1,10.4625,1,2,2,0,2
207,0,3,0,32,1,0,15.85,1,1,2,0,3
208,1,3,0,26,0,0,18.7875,2,1,1,1,3
209,1,3,1,16,0,0,7.75,3,2,1,1,1
210,1,1,0,40,0,0,31.0,2,1,1,1,3
211,0,3,0,24,0,0,7.05,1,1,1,1,1
212,1,2,1,35,0,0,21.0,1,2,1,1,3
213,0,3,0,22,0,0,7.25,1,1,1,1,1
214,0,2,0,30,0,0,13.0,1,1,1,1,2
215,0,3,0,25,1,0,7.75,3,1,2,0,1
216,1,1,1,31,1,0,113.275,2,2,2,0,4
217,1,3,1,27,0,0,7.925,1,2,1,1,2
218,0,2,0,42,1,0,27.0,1,1,2,0,3
219,1,1,1,32,0,0,76.2917,2,2,1,1,4
220,0,2,0,30,0,0,10.5,1,1,1,1,2
221,1,3,0,16,0,0,8.05,1,1,1,1,2
222,0,2,0,27,0,0,13.0,1,1,1,1,2
223,0,3,0,51,0,0,8.05,1,1,1,1,2
224,0,3,0,25,0,0,7.8958,1,1,1,1,1
225,1,1,0,38,1,0,90.0,1,1,2,0,4
226,0,3,0,22,0,0,9.35,1,1,1,1,2
227,1,2,0,19,0,0,10.5,1,1,1,1,2
228,0,3,0,20,0,0,7.25,1,1,1,1,1
229,0,2,0,18,0,0,13.0,1,1,1,1,2
230,0,3,1,21,3,1,25.4667,1,2,5,0,3
231,1,1,1,35,1,0,83.475,1,3,2,0,4
232,0,3,0,29,0,0,7.775,1,1,1,1,1
233,0,2,0,59,0,0,13.5,1,1,1,1,2
234,1,3,1,5,4,2,31.3875,1,2,7,0,4
235,0,2,0,24,0,0,10.5,1,1,1,1,2
236,0,3,1,21,0,0,7.55,1,2,1,1,1
237,0,2,0,44,1,0,26.0,1,1,2,0,3
238,1,2,1,8,0,2,26.25,1,2,3,0,3
239,0,2,0,19,0,0,10.5,1,1,1,1,2
240,0,2,0,33,0,0,12.275,1,1,1,1,2
241,0,3,1,21,1,0,14.4542,2,2,2,0,3
242,1,3,1,21,1,0,15.5,3,2,2,0,3
243,0,2,0,29,0,0,10.5,1,1,1,1,2
244,0,3,0,22,0,0,7.125,1,1,1,1,1
245,0,3,0,30,0,0,7.225,2,1,1,1,1
246,0,1,0,44,2,0,90.0,3,5,3,0,4
247,0,3,1,25,0,0,7.775,1,2,1,1,1
248,1,2,1,24,0,2,14.5,1,3,3,0,3
249,1,1,0,37,1,1,52.5542,1,1,3,0,4
250,0,2,0,54,1,0,26.0,1,5,2,0,3
251,0,3,0,25,0,0,7.25,1,1,1,1,1
252,0,3,1,29,1,1,10.4625,1,3,3,0,2
253,0,1,0,62,0,0,26.55,1,1,1,1,3
254,0,3,0,30,1,0,16.1,1,1,2,0,3
255,0,3,1,41,0,2,20.2125,1,3,3,0,3
256,1,3,1,29,0,2,15.2458,2,3,3,0,3
257,1,1,1,35,0,0,79.2,2,3,1,1,4
258,1,1,1,30,0,0,86.5,1,2,1,1,4
259,1,1,1,35,0,0,512.3292,2,2,1,1,4
260,1,2,1,50,0,1,26.0,1,3,2,0,3
261,0,3,0,25,0,0,7.75,3,1,1,1,1
262,1,3,0,3,4,2,31.3875,1,4,7,0,4
263,0,1,0,52,1,1,79.65,1,1,3,0,4
264,0,1,0,40,0,0,0.0,1,1,1,1,1
265,0,3,1,21,0,0,7.75,3,2,1,1,1
266,0,2,0,36,0,0,10.5,1,1,1,1,2
267,0,3,0,16,4,1,39.6875,1,1,6,0,4
268,1,3,0,25,1,0,7.775,1,1,2,0,1
269,1,1,1,58,0,1,153.4625,1,3,2,0,4
270,1,1,1,35,0,0,135.6333,1,2,1,1,4
271,0,1,0,40,0,0,31.0,1,1,1,1,3
272,1,3,0,25,0,0,0.0,1,1,1,1,1
273,1,2,1,41,0,1,19.5,1,3,2,0,3
274,0,1,0,37,0,1,29.7,2,1,2,0,3
275,1,3,1,21,0,0,7.75,3,2,1,1,1
276,1,1,1,63,1,0,77.9583,1,2,2,0,4
277,0,3,1,45,0,0,7.75,1,2,1,1,1
278,0,2,0,30,0,0,0.0,1,1,1,1,1
279,0,3,0,7,4,1,29.125,3,4,6,0,3
280,1,3,1,35,1,1,20.25,1,3,3,0,3
281,0,3,0,65,0,0,7.75,3,1,1,1,1
282,0,3,0,28,0,0,7.8542,1,1,1,1,1
283,0,3,0,16,0,0,9.5,1,1,1,1,2
284,1,3,0,19,0,0,8.05,1,1,1,1,2
285,0,1,0,40,0,0,26.0,1,1,1,1,3
286,0,3,0,33,0,0,8.6625,2,1,1,1,2
287,1,3,0,30,0,0,9.5,1,1,1,1,2
288,0,3,0,22,0,0,7.8958,1,1,1,1,1
289,1,2,0,42,0,0,13.0,1,1,1,1,2
290,1,3,1,22,0,0,7.75,3,2,1,1,1
291,1,1,1,26,0,0,78.85,1,2,1,1,4
292,1,1,1,19,1,0,91.0792,2,3,2,0,4
293,0,2,0,36,0,0,12.875,2,1,1,1,2
294,0,3,1,24,0,0,8.85,1,2,1,1,2
295,0,3,0,24,0,0,7.8958,1,1,1,1,1
296,0,1,0,40,0,0,27.7208,2,1,1,1,3
297,0,3,0,23,0,0,7.2292,2,1,1,1,1
298,0,1,1,2,1,2,151.55,1,2,4,0,4
299,1,1,0,40,0,0,30.5,1,1,1,1,3
300,1,1,1,50,0,1,247.5208,2,3,2,0,4
301,1,3,1,21,0,0,7.75,3,2,1,1,1
302,1,3,0,25,2,0,23.25,3,1,3,0,3
303,0,3,0,19,0,0,0.0,1,1,1,1,1
304,1,2,1,28,0,0,12.35,3,2,1,1,2
305,0,3,0,25,0,0,8.05,1,1,1,1,2
306,1,1,0,0,1,2,151.55,1,4,4,0,4
307,1,1,1,35,0,0,110.8833,2,2,1,1,4
308,1,1,1,17,1,0,108.9,2,3,2,0,4
309,0,2,0,30,1,0,24.0,2,1,2,0,3
310,1,1,1,30,0,0,56.9292,2,2,1,1,4
311,1,1,1,24,0,0,83.1583,2,2,1,1,4
312,1,1,1,18,2,2,262.375,2,2,5,0,4
313,0,2,1,26,1,1,26.0,1,3,3,0,3
314,0,3,0,28,0,0,7.8958,1,1,1,1,1
315,0,2,0,43,1,1,26.25,1,1,3,0,3
316,1,3,1,26,0,0,7.8542,1,2,1,1,1
317,1,2,1,24,1,0,26.0,1,3,2,0,3
318,0,2,0,54,0,0,14.0,1,5,1,1,2
319,1,1,1,31,0,2,164.8667,1,2,3,0,4
320,1,1,1,40,1,1,134.5,2,3,3,0,4
321,0,3,0,22,0,0,7.25,1,1,1,1,1
322,0,3,0,27,0,0,7.8958,1,1,1,1,1
323,1,2,1,30,0,0,12.35,3,2,1,1,2
324,1,2,1,22,1,1,29.0,1,3,3,0,3
325,0,3,0,25,8,2,69.55,1,1,11,0,4
326,1,1,1,36,0,0,135.6333,2,2,1,1,4
327,0,3,0,61,0,0,6.2375,1,1,1,1,1
328,1,2,1,36,0,0,13.0,1,3,1,1,2
329,1,3,1,31,1,1,20.525,1,3,3,0,3
330,1,1,1,16,0,1,57.9792,2,2,2,0,4
331,1,3,1,21,2,0,23.25,3,2,3,0,3
332,0,1,0,45,0,0,28.5,1,1,1,1,3
333,0,1,0,38,0,1,153.4625,1,1,2,0,4
334,0,3,0,16,2,0,18.0,1,1,3,0,3
335,1,1,1,35,1,0,133.65,1,3,2,0,4
336,0,3,0,25,0,0,7.8958,1,1,1,1,1
337,0,1,0,29,1,0,66.6,1,1,2,0,4
338,1,1,1,41,0,0,134.5,2,2,1,1,4
339,1,3,0,45,0,0,8.05,1,1,1,1,2
340,0,1,0,45,0,0,35.5,1,1,1,1,4
341,1,2,0,2,1,1,26.0,1,4,3,0,3
342,1,1,1,24,3,2,263.0,1,2,6,0,4
343,0,2,0,28,0,0,13.0,1,1,1,1,2
344,0,2,0,25,0,0,13.0,1,1,1,1,2
345,0,2,0,36,0,0,13.0,1,1,1,1,2
346,1,2,1,24,0,0,13.0,1,2,1,1,2
347,1,2,1,40,0,0,13.0,1,2,1,1,2
348,1,3,1,21,1,0,16.1,1,3,2,0,3
349,1,3,0,3,1,1,15.9,1,4,3,0,3
350,0,3,0,42,0,0,8.6625,1,1,1,1,2
351,0,3,0,23,0,0,9.225,1,1,1,1,2
352,0,1,0,40,0,0,35.0,1,1,1,1,4
353,0,3,0,15,1,1,7.2292,2,1,3,0,1
354,0,3,0,25,1,0,17.8,1,1,2,0,3
355,0,3,0,25,0,0,7.225,2,1,1,1,1
356,0,3,0,28,0,0,9.5,1,1,1,1,2
357,1,1,1,22,0,1,55.0,1,2,2,0,4
358,0,2,1,38,0,0,13.0,1,2,1,1,2
359,1,3,1,21,0,0,7.8792,3,2,1,1,1
360,1,3,1,21,0,0,7.8792,3,2,1,1,1
361,0,3,0,40,1,4,27.9,1,1,6,0,3
362,0,2,0,29,1,0,27.7208,2,1,2,0,3
363,0,3,1,45,0,1,14.4542,2,3,2,0,3
364,0,3,0,35,0,0,7.05,1,1,1,1,1
365,0,3,0,25,1,0,15.5,3,1,2,0,3
366,0,3,0,30,0,0,7.25,1,1,1,1,1
367,1,1,1,60,1,0,75.25,2,3,2,0,4
368,1,3,1,21,0,0,7.2292,2,3,1,1,1
369,1,3,1,21,0,0,7.75,3,2,1,1,1
370,1,1,1,24,0,0,69.3,2,3,1,1,4
371,1,1,0,25,1,0,55.4417,2,1,2,0,4
372,0,3,0,18,1,0,6.4958,1,1,2,0,1
373,0,3,0,19,0,0,8.05,1,1,1,1,2
374,0,1,0,22,0,0,135.6333,2,1,1,1,4
375,0,3,1,3,3,1,21.075,1,2,5,0,3
376,1,1,1,35,1,0,82.1708,2,3,2,0,4
377,1,3,1,22,0,0,7.25,1,2,1,1,1
378,0,1,0,27,0,2,211.5,2,1,3,0,4
379,0,3,0,20,0,0,4.0125,2,1,1,1,1
380,0,3,0,19,0,0,7.775,1,1,1,1,1
381,1,1,1,42,0,0,227.525,2,2,1,1,4
382,1,3,1,1,0,2,15.7417,2,2,3,0,3
383,0,3,0,32,0,0,7.925,1,1,1,1,2
384,1,1,1,35,1,0,52.0,1,3,2,0,4
385,0,3,0,25,0,0,7.8958,1,1,1,1,1
386,0,2,0,18,0,0,73.5,1,1,1,1,4
387,0,3,0,1,5,2,46.9,1,4,8,0,4
388,1,2,1,36,0,0,13.0,1,2,1,1,2
389,0,3,0,25,0,0,7.7292,3,1,1,1,1
390,1,2,1,17,0,0,12.0,2,2,1,1,2
391,1,1,0,36,1,2,120.0,1,1,4,0,4
392,1,3,0,21,0,0,7.7958,1,1,1,1,1
393,0,3,0,28,2,0,7.925,1,1,3,0,2
394,1,1,1,23,1,0,113.275,2,2,2,0,4
395,1,3,1,24,0,2,16.7,1,3,3,0,3
396,0,3,0,22,0,0,7.7958,1,1,1,1,1
397,0,3,1,31,0,0,7.8542,1,2,1,1,1
398,0,2,0,46,0,0,26.0,1,1,1,1,3
399,0,2,0,23,0,0,10.5,1,5,1,1,2
400,1,2,1,28,0,0,12.65,1,3,1,1,2
401,1,3,0,39,0,0,7.925,1,1,1,1,2
402,0,3,0,26,0,0,8.05,1,1,1,1,2
403,0,3,1,21,1,0,9.825,1,2,2,0,2
404,0,3,0,28,1,0,15.85,1,1,2,0,3
405,0,3,1,20,0,0,8.6625,1,2,1,1,2
406,0,2,0,34,1,0,21.0,1,1,2,0,3
407,0,3,0,51,0,0,7.75,1,1,1,1,1
408,1,2,0,3,1,1,18.75,1,4,3,0,3
409,0,3,0,21,0,0,7.775,1,1,1,1,1
410,0,3,1,21,3,1,25.4667,1,2,5,0,3
411,0,3,0,25,0,0,7.8958,1,1,1,1,1
412,0,3,0,25,0,0,6.8583,3,1,1,1,1
413,1,1,1,33,1,0,90.0,3,2,2,0,4
414,0,2,0,30,0,0,0.0,1,1,1,1,1
415,1,3,0,44,0,0,7.925,1,1,1,1,2
416,0,3,1,21,0,0,8.05,1,3,1,1,2
417,1,2,1,34,1,1,32.5,1,3,3,0,4
418,1,2,1,18,0,2,13.0,1,2,3,0,2
419,0,2,0,30,0,0,13.0,1,1,1,1,2
420,0,3,1,10,0,2,24.15,1,2,3,0,3
421,0,3,0,25,0,0,7.8958,2,1,1,1,1
422,0,3,0,21,0,0,7.7333,3,1,1,1,1
423,0,3,0,29,0,0,7.875,1,1,1,1,1
424,0,3,1,28,1,1,14.4,1,3,3,0,2
425,0,3,0,18,1,1,20.2125,1,1,3,0,3
426,0,3,0,25,0,0,7.25,1,1,1,1,1
427,1,2,1,28,1,0,26.0,1,3,2,0,3
428,1,2,1,19,0,0,26.0,1,2,1,1,3
429,0,3,0,25,0,0,7.75,3,1,1,1,1
430,1,3,0,32,0,0,8.05,1,1,1,1,2
431,1,1,0,28,0,0,26.55,1,1,1,1,3
432,1,3,1,21,1,0,16.1,1,3,2,0,3
433,1,2,1,42,1,0,26.0,1,3,2,0,3
434,0,3,0,17,0,0,7.125,1,1,1,1,1
435,0,1,0,50,1,0,55.9,1,1,2,0,4
436,1,1,1,14,1,2,120.0,1,2,4,0,4
437,0,3,1,21,2,2,34.375,1,2,5,0,4
438,1,2,1,24,2,3,18.75,1,3,6,0,3
439,0,1,0,64,1,4,263.0,1,1,6,0,4
440,0,2,0,31,0,0,10.5,1,1,1,1,2
441,1,2,1,45,1,1,26.25,1,3,3,0,3
442,0,3,0,20,0,0,9.5,1,1,1,1,2
443,0,3,0,25,1,0,7.775,1,1,2,0,1
444,1,2,1,28,0,0,13.0,1,2,1,1,2
445,1,3,0,25,0,0,8.1125,1,1,1,1,2
446,1,1,0,4,0,2,81.8583,1,4,3,0,4
